,cliente_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,semana,dias_mes,dias_semana,kpi_planeado_diario,kpi_planeado_semanal,inversion_plataforma_diaria,inversion_plataforma_semanal,inversion_AdOps_diaria,inversion_AdOps_semanal,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue
0,2003,mp_2003_od_precioslocosmkt_pi_dsp,mp_2003_od_precioslocosmkt_pi_dsp_V1,V1,precioslocosmkt,pi,"información correcta, que tenemos en el mp y en las plataformas",mp,Marzo,od,Programmatic,2020-03-12,2020-03-15,2020-03-17,2020-03-19,36.25,979525.0,1292.97,35507.03,36800.0,23920.0,22627.03,1292.97,23.1,12,4,0,244881.0,0.0,8877.0,0.0,5657.0,0.0,2020-03-25,2020-03-31,2020-03-25,2020-03-19,MXN,0.0,4.0,1.0,102.0,270830.09,mp_2003_od_precioslocosmkt_pi_dsp_2020-03-25,0.0,102.0,0.0,270830.09,0,0
1,2003,mp_2003_od_precioslocosmkt_pi_dsp,mp_2003_od_precioslocosmkt_pi_dsp_V1,V1,precioslocosmkt,pi,"información correcta, que tenemos en el mp y en las plataformas",mp,Marzo,od,Programmatic,2020-03-12,2020-03-15,2020-03-17,2020-03-19,36.25,979525.0,1292.97,35507.03,36800.0,23920.0,22627.03,1292.97,23.1,11,4,3,244881.0,734643.0,8877.0,26631.0,5657.0,16971.0,2020-03-17,2020-03-24,2020-03-17,2020-03-19,MXN,36800.0,1019295.0,594.0,155.0,519361.96,mp_2003_od_precioslocosmkt_pi_dsp_2020-03-17,155.0,0.0,519361.96,0.0,0,0
2,2003,mp_2003_od_precioslocosmkt_pi_dsp,mp_2003_od_precioslocosmkt_pi_dsp_V1,V1,precioslocosmkt,pi,"información correcta, que tenemos en el mp y en las plataformas",mp,Marzo,od,Programmatic,2020-03-12,2020-03-15,2020-03-17,2020-03-19,36.25,979525.0,1292.97,35507.03,36800.0,23920.0,22627.03,1292.97,23.1,15,4,0,244881.0,0.0,8877.0,0.0,5657.0,0.0,2020-04-17,2020-04-24,2020-04-17,2020-03-19,MXN,0.0,1.0,0.0,10.0,17096.7,mp_2003_od_precioslocosmkt_pi_dsp_2020-04-17,0.0,10.0,0.0,17096.7,0,0
3,2003,mp_2003_od_precioslocosmkt_pi_dsp,mp_2003_od_precioslocosmkt_pi_dsp_V1,V1,precioslocosmkt,pi,"información correcta, que tenemos en el mp y en las plataformas",mp,Marzo,od,Programmatic,2020-03-12,2020-03-15,2020-03-17,2020-03-19,36.25,979525.0,1292.97,35507.03,36800.0,23920.0,22627.03,1292.97,23.1,13,4,0,244881.0,0.0,8877.0,0.0,5657.0,0.0,2020-04-01,2020-04-08,2020-04-01,2020-03-19,MXN,0.0,10.0,0.0,57.0,92222.89,mp_2003_od_precioslocosmkt_pi_dsp_2020-04-01,0.0,57.0,0.0,92222.89,0,0
4,2003,mp_2003_od_precioslocosmkt_pi_dsp,mp_2003_od_precioslocosmkt_pi_dsp_V1,V1,precioslocosmkt,pi,"información correcta, que tenemos en el mp y en las plataformas",mp,Marzo,od,Programmatic,2020-03-12,2020-03-15,2020-03-17,2020-03-19,36.25,979525.0,1292.97,35507.03,36800.0,23920.0,22627.03,1292.97,23.1,14,4,0,244881.0,0.0,8877.0,0.0,5657.0,0.0,2020-04-09,2020-04-16,2020-04-09,2020-03-19,MXN,0.0,0.0,0.0,47.0,118676.36,mp_2003_od_precioslocosmkt_pi_dsp_2020-04-09,0.0,47.0,0.0,118676.36,0,0
6,acer,2005_acer_10mayo_pi_mkt_fb,2005_acer_10mayo_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,10mayo,Facebook,2020-05-07,2020-05-10,2020-05-07,2020-05-13,4.35,1725.0,0.0,7500.0,7500.0,7500.0,7500.0,0.0,4.35,18,4,5,431.0,2155.0,1875.0,9375.0,1875.0,9375.0,2020-05-09,2020-05-16,2020-05-09,2020-05-13,MXN,3695.0,417722.0,4002.0,0.0,0.0,2005_acer_10mayo_pi_mkt_fb_2020-05-09,0.0,0.0,0.0,0.0,0,0
7,acer,2005_acer_10mayo_pi_mkt_fb,2005_acer_10mayo_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2005,Mayo,10mayo,Facebook,2020-05-07,2020-05-10,2020-05-07,2020-05-13,4.35,1725.0,0.0,7500.0,7500.0,7500.0,7500.0,0.0,4.35,17,4,2,431.0,862.0,1875.0,3750.0,1875.0,3750.0,2020-05-01,2020-05-08,2020-05-07,2020-05-08,MXN,1033.0,89027.0,2070.0,0.0,0.0,2005_acer_10mayo_pi_mkt_fb_2020-05-01,0.0,0.0,0.0,0.0,0,0
11,acer,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,15,23,8,330.0,2640.0,1435.0,11480.0,1435.0,11480.0,2020-04-17,2020-04-24,2020-04-17,2020-04-24,MXN,8393.0,534098.0,3579.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-17,0.0,0.0,0.0,0.0,0,0
12,acer,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,16,23,6,330.0,1980.0,1435.0,8610.0,1435.0,8610.0,2020-04-25,2020-04-30,2020-04-25,2020-04-30,MXN,6301.0,289727.0,3068.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-25,0.0,0.0,0.0,0.0,0,0
13,acer,2004_acer_clicktobuy_pi_mkt_fb,2004_acer_clicktobuy_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2004,Abril,clicktobuy,Facebook,2020-04-08,2020-04-30,2020-04-08,2020-04-30,4.35,7586.0,0.0,33000.0,33000.0,33000.0,33000.0,0.0,4.35,13,23,1,330.0,330.0,1435.0,1435.0,1435.0,1435.0,2020-04-01,2020-04-08,2020-04-08,2020-04-08,MXN,0.0,17.0,2.0,0.0,0.0,2004_acer_clicktobuy_pi_mkt_fb_2020-04-01,0.0,0.0,0.0,0.0,0,0
